trial0000001, AA, 65061.0, 38, 1712.13, 63.53, 0.00000550, 0.00000588, DTR, 4778.0, 2, 2389.00, 58.00, 0.00776571, 0.00000038
trial0000002, AA, 61933.0, 38, 1629.82, 60.79, 0.00000559, 0.00000633, DTR, 6380.0, 2, 3190.00, 74.00, 0.00788330, 0.00000049
trial0000003, AA, 64352.0, 38, 1693.47, 65.76, 0.00000550, 0.00000701, DTR, 5590.0, 2, 2795.00, 57.50, 0.00811385, 0.00000040
trial0000004, AA, 65986.0, 38, 1736.47, 63.76, 0.00000567, 0.00000597, DTR, 1451.0, 2, 725.50, 17.50, 0.00667625, 0.00000039
trial0000005, AA, 69328.0, 38, 1824.42, 68.84, 0.00000574, 0.00000660, DTR, 0.0, 2, 0.00, 0.00, 0.00680016, 0.00000040
trial0000006, AA, 68950.0, 38, 1814.47, 65.89, 0.00000564, 0.00000668, DTR, 400.0, 2, 200.00, 52.00, 0.00684857, 0.00000044
trial0000007, AA, 63473.0, 38, 1670.34, 61.21, 0.00000570, 0.00000614, DTR, 4290.0, 2, 2145.00, 80.00, 0.00780609, 0.00000040
trial0000008, AA, 62751.0, 38, 1651.34, 64.50, 0.00000554, 0.00000671, DTR, 6087.0, 2, 3043.50, 49.50, 0.00688768, 0.00000037
trial0000009, AA, 69475.0, 38, 1828.29, 67.95, 0.00000567, 0.00000658, DTR, 0.0, 2, 0.00, 0.00, 0.00699315, 0.00000040
trial0000010, AA, 65979.0, 38, 1736.29, 64.13, 0.00000579, 0.00000625, DTR, 2017.0, 2, 1008.50, 26.50, 0.00686187, 0.00000038
trial0000011, AA, 69113.0, 38, 1818.76, 65.08, 0.00000571, 0.00000601, DTR, 375.0, 2, 187.50, 9.50, 0.00677987, 0.00000039
trial0000012, AA, 64875.0, 38, 1707.24, 64.79, 0.00000583, 0.00000661, DTR, 4790.0, 2, 2395.00, 58.00, 0.00801489, 0.00000041
trial0000013, AA, 69193.0, 38, 1820.87, 68.55, 0.00000587, 0.00000632, DTR, 1.0, 2, 0.50, 0.50, 0.00684115, 0.00000038
trial0000014, AA, 57802.0, 38, 1521.11, 61.74, 0.00000687, 0.00000707, DTR, 11168.0, 2, 5584.00, 106.00, 0.00966312, 0.00000050
trial0000015, AA, 58795.0, 38, 1547.24, 62.47, 0.00000720, 0.00000736, DTR, 10134.0, 2, 5067.00, 112.00, 0.00985509, 0.00000052
trial0000016, AA, 69150.0, 38, 1819.74, 68.58, 0.00000546, 0.00000632, DTR, 0.0, 2, 0.00, 0.00, 0.00667647, 0.00000039
trial0000017, AA, 65536.0, 38, 1724.63, 65.55, 0.00000549, 0.00000650, DTR, 2339.0, 2, 1169.50, 28.50, 0.00681483, 0.00000041
trial0000018, AA, 61924.0, 38, 1629.58, 65.13, 0.00000575, 0.00000681, DTR, 6935.0, 2, 3467.50, 52.50, 0.00692690, 0.00000039
trial0000019, AA, 63261.0, 38, 1664.76, 64.71, 0.00000558, 0.00000694, DTR, 5116.0, 2, 2558.00, 45.50, 0.00689903, 0.00000036
trial0000020, AA, 69633.0, 38, 1832.45, 68.58, 0.00000586, 0.00000660, DTR, 0.0, 2, 0.00, 0.00, 0.00692869, 0.00000035
trial0000021, AA, 65159.0, 38, 1714.71, 63.47, 0.00000571, 0.00000658, DTR, 2217.0, 2, 1108.50, 32.00, 0.00695157, 0.00000039
trial0000022, AA, 68104.0, 38, 1792.21, 65.34, 0.00000570, 0.00000689, DTR, 1661.0, 2, 830.50, 57.50, 0.00803176, 0.00000038
trial0000023, AA, 66180.0, 38, 1741.58, 65.05, 0.00000627, 0.00000654, DTR, 1396.0, 2, 698.00, 21.00, 0.00694085, 0.00000036
trial0000024, AA, 60419.0, 38, 1589.97, 63.08, 0.00001581, 0.00001869, DTR, 6736.0, 2, 3368.00, 65.50, 0.05119925, 0.00000152

