5,5,5,0,5,0,0
5,0,5,5,5,0,0
5,5,0,5,5,0,0
0,5,5,5,5,0,0
5,5,5,5,0,0,0
4,0,4,8,4,0,0
8,4,4,4,0,0,0
4,8,4,4,0,0,0
0,4,4,4,8,0,0
0,8,4,4,4,0,0
4,4,8,4,0,0,0
4,4,0,8,4,0,0
4,8,0,4,4,0,0
8,4,4,0,4,0,0
4,0,8,4,4,0,0
4,0,4,4,8,0,0
4,8,4,0,4,0,0
4,4,4,8,0,0,0
4,4,4,0,8,0,0
0,4,4,8,4,0,0
0,4,8,4,4,0,0
4,4,8,0,4,0,0
8,4,0,4,4,0,0
8,0,4,4,4,0,0
4,4,0,4,8,0,0
2,8,8,0,2,0,0
8,2,8,2,0,0,0
0,2,2,8,8,0,0
8,2,0,8,2,0,0
2,2,0,8,8,0,0
2,8,2,8,0,0,0
0,2,8,2,8,0,0
8,2,8,0,2,0,0
2,8,2,0,8,0,0
0,8,8,2,2,0,0
8,0,2,2,8,0,0
8,8,2,2,0,0,0
0,2,8,8,2,0,0
8,8,2,0,2,0,0
2,2,8,0,8,0,0
2,8,8,2,0,0,0
0,8,2,2,8,0,0
8,8,0,2,2,0,0
2,0,8,2,8,0,0
2,2,8,8,0,0,0
0,8,2,8,2,0,0
8,0,2,8,2,0,0
2,0,8,8,2,0,0
2,0,2,8,8,0,0
8,2,2,0,8,0,0
2,8,0,2,8,0,0
8,0,8,2,2,0,0
2,8,0,8,2,0,0
8,2,0,2,8,0,0
8,2,2,8,0,0,0
4,4,2,10,0,0,0
0,2,4,4,10,0,0
4,10,2,0,4,0,0
4,10,0,4,2,0,0
10,0,4,4,2,0,0
4,0,2,10,4,0,0
4,4,10,0,2,0,0
0,10,4,2,4,0,0
4,4,0,10,2,0,0
2,4,10,4,0,0,0
10,4,2,4,0,0,0
10,2,0,4,4,0,0
4,4,0,2,10,0,0
2,0,10,4,4,0,0
0,2,4,10,4,0,0
4,2,0,4,10,0,0
0,4,4,2,10,0,0
2,0,4,4,10,0,0
0,4,4,10,2,0,0
10,0,2,4,4,0,0
10,4,4,2,0,0,0
10,4,0,4,2,0,0
4,4,2,0,10,0,0
4,2,10,0,4,0,0
2,10,0,4,4,0,0
4,10,2,4,0,0,0
4,2,0,10,4,0,0
10,2,4,4,0,0,0
10,0,4,2,4,0,0
0,10,2,4,4,0,0
2,10,4,4,0,0,0
4,2,4,10,0,0,0
10,4,0,2,4,0,0
4,10,0,2,4,0,0
2,0,4,10,4,0,0
2,4,0,4,10,0,0
2,4,4,10,0,0,0
0,4,10,4,2,0,0
10,4,4,0,2,0,0
4,10,4,2,0,0,0
4,0,4,2,10,0,0
4,0,10,4,2,0,0
0,4,2,4,10,0,0
4,0,2,4,10,0,0
2,4,10,0,4,0,0
0,4,10,2,4,0,0
2,4,0,10,4,0,0
0,2,10,4,4,0,0
4,10,4,0,2,0,0
2,4,4,0,10,0,0
10,4,2,0,4,0,0
4,2,10,4,0,0,0
10,2,4,0,4,0,0
4,0,4,10,2,0,0
