11/09/2017,13:30:00,1.31723,1.31725,1.31714,1.31715,81
11/09/2017,13:31:00,1.31715,1.31718,1.31715,1.31715,44
11/09/2017,13:32:00,1.31715,1.31737,1.31715,1.31735,116
11/09/2017,13:33:00,1.31736,1.31741,1.31736,1.31741,35
11/09/2017,13:34:00,1.3174,1.31748,1.31735,1.31742,52
11/09/2017,13:35:00,1.31742,1.31742,1.31739,1.31741,18
11/09/2017,13:36:00,1.31741,1.31749,1.3174,1.31746,63
11/09/2017,13:37:00,1.31747,1.31758,1.31746,1.31755,65
11/09/2017,13:38:00,1.31755,1.31762,1.31754,1.31757,40
11/09/2017,13:39:00,1.31755,1.31758,1.31749,1.3175,66
11/09/2017,13:40:00,1.3175,1.31753,1.3175,1.31751,46
11/09/2017,13:41:00,1.31751,1.31757,1.31749,1.31752,35
11/09/2017,13:42:00,1.31752,1.31752,1.31732,1.31736,104
11/09/2017,13:43:00,1.31738,1.31741,1.31735,1.31739,44
11/09/2017,13:44:00,1.31739,1.31753,1.31739,1.31753,65
11/09/2017,13:45:00,1.31754,1.31754,1.31747,1.31752,25
11/09/2017,13:46:00,1.31751,1.31752,1.3175,1.31751,23
11/09/2017,13:47:00,1.31751,1.31751,1.31748,1.31751,26
11/09/2017,13:48:00,1.31752,1.31754,1.31749,1.31754,22
11/09/2017,13:49:00,1.31754,1.31754,1.3174,1.31741,62
11/09/2017,13:50:00,1.3174,1.31742,1.31738,1.31741,29
11/09/2017,13:51:00,1.3174,1.31741,1.31739,1.3174,25
11/09/2017,13:52:00,1.3174,1.31743,1.31739,1.31739,26
11/09/2017,13:53:00,1.3174,1.3175,1.31739,1.31749,55
11/09/2017,13:54:00,1.31748,1.31753,1.31746,1.31751,26
11/09/2017,13:55:00,1.31751,1.31753,1.31747,1.31748,16
11/09/2017,13:56:00,1.31749,1.31757,1.31749,1.3175,47
11/09/2017,13:57:00,1.3175,1.31751,1.31748,1.3175,31
11/09/2017,13:58:00,1.3175,1.31752,1.31743,1.31744,46
11/09/2017,13:59:00,1.31744,1.31744,1.31732,1.3174,116
11/09/2017,14:00:00,1.31737,1.3174,1.31731,1.31733,89
11/09/2017,14:01:00,1.31734,1.31735,1.3173,1.3173,84
11/09/2017,14:02:00,1.31731,1.3174,1.31729,1.31738,59
11/09/2017,14:03:00,1.31739,1.31739,1.31721,1.31722,121
11/09/2017,14:04:00,1.31722,1.31723,1.3172,1.31722,47
11/09/2017,14:05:00,1.31722,1.31723,1.31719,1.31719,35
11/09/2017,14:06:00,1.31719,1.3172,1.31717,1.31718,20
11/09/2017,14:07:00,1.31718,1.31718,1.31688,1.3169,120
11/09/2017,14:08:00,1.3169,1.31691,1.31685,1.31687,55
11/09/2017,14:09:00,1.31687,1.31688,1.31649,1.31649,147
11/09/2017,14:10:00,1.31649,1.31649,1.31635,1.31639,118
11/09/2017,14:11:00,1.31639,1.3165,1.31635,1.31649,84
11/09/2017,14:12:00,1.31649,1.31651,1.31632,1.31639,112
11/09/2017,14:13:00,1.31639,1.3164,1.31632,1.31635,101
11/09/2017,14:14:00,1.31635,1.31637,1.31629,1.31629,44
11/09/2017,14:15:00,1.31629,1.31633,1.31624,1.31624,31
11/09/2017,14:16:00,1.31625,1.31626,1.31619,1.31621,40
11/09/2017,14:17:00,1.31621,1.31627,1.31617,1.31623,41
11/09/2017,14:18:00,1.31623,1.31631,1.31623,1.3163,65
11/09/2017,14:19:00,1.3163,1.3164,1.31621,1.31638,105
11/09/2017,14:20:00,1.31639,1.31651,1.31639,1.31642,57
11/09/2017,14:21:00,1.31643,1.3165,1.31643,1.31644,89
11/09/2017,14:22:00,1.31644,1.3165,1.31644,1.31648,53
11/09/2017,14:23:00,1.31649,1.31651,1.31649,1.31651,31
