trial0000135, AA, 24074.0, 20, 1203.70, 79.60, 0.00002183, 0.00003196, DTR, 17319.0, 20, 865.95, 61.20, 0.14926005, 0.00000097
trial0000136, AA, 21819.0, 20, 1090.95, 64.90, 0.00002269, 0.00003228, DTR, 19593.0, 20, 979.65, 74.75, 0.14728445, 0.00000101
trial0000137, AA, 30142.0, 20, 1507.10, 83.45, 0.00002161, 0.00003152, DTR, 11418.0, 20, 570.90, 58.05, 0.15557869, 0.00000096
trial0000138, AA, 17605.0, 20, 880.25, 66.45, 0.00002345, 0.00003165, DTR, 24113.0, 20, 1205.65, 72.05, 0.14698403, 0.00000101
trial0000139, AA, 21530.0, 20, 1076.50, 75.40, 0.00002222, 0.00003314, DTR, 19550.0, 20, 977.50, 66.10, 0.14931291, 0.00000105
trial0000140, AA, 15268.0, 20, 763.40, 59.05, 0.00002336, 0.00003401, DTR, 25990.0, 20, 1299.50, 82.20, 0.14403813, 0.00000108
trial0000141, AA, 21883.0, 20, 1094.15, 64.90, 0.00002490, 0.00003043, DTR, 20337.0, 20, 1016.85, 74.40, 0.14860802, 0.00000111
trial0000142, AA, 19692.0, 20, 984.60, 61.60, 0.00002232, 0.00003079, DTR, 22255.0, 20, 1112.75, 77.00, 0.14932566, 0.00000100
trial0000143, AA, 13864.0, 20, 693.20, 53.60, 0.00002388, 0.00003092, DTR, 28139.0, 20, 1406.95, 83.70, 0.14364872, 0.00000098
trial0000144, AA, 21464.0, 20, 1073.20, 74.95, 0.00002272, 0.00003289, DTR, 20164.0, 20, 1008.20, 66.45, 0.14680829, 0.00000100
trial0000145, AA, 14545.0, 20, 727.25, 60.55, 0.00002397, 0.00003265, DTR, 27021.0, 20, 1351.05, 79.75, 0.13858047, 0.00000102
trial0000146, AA, 27463.0, 20, 1373.15, 79.55, 0.00002085, 0.00002951, DTR, 14659.0, 20, 732.95, 57.15, 0.15687184, 0.00000096
trial0000147, AA, 17662.0, 20, 883.10, 69.65, 0.00002208, 0.00003255, DTR, 22893.0, 20, 1144.65, 75.75, 0.14270230, 0.00000098
trial0000148, AA, 19531.0, 20, 976.55, 72.30, 0.00002794, 0.00003371, DTR, 22086.0, 20, 1104.30, 68.20, 0.15497072, 0.00000097
trial0000149, AA, 24786.0, 20, 1239.30, 74.80, 0.00002279, 0.00003303, DTR, 17318.0, 20, 865.90, 65.60, 0.15653527, 0.00000098
trial0000150, AA, 19965.0, 20, 998.25, 69.50, 0.00002260, 0.00003062, DTR, 21784.0, 20, 1089.20, 70.00, 0.14526032, 0.00000100
